segment_id,start_time,end_time,start_seconds,end_seconds,duration,text
114,"00:09:58,120","00:10:02,720",598.12,602.72,4.600000000000023,Wo wollen Sie sparen?
115,"00:10:02,760","00:10:06,840",602.76,606.84,4.080000000000041,Wie machen Sie das?
116,"00:10:06,880","00:10:10,360",606.88,610.36,3.480000000000018,Über Totalverweigerer haben wir gesprochen.
117,"00:10:10,400","00:10:14,360",610.4,614.36,3.9600000000000364,500 Millionen.
118,"00:10:14,400","00:10:17,000",614.4,617.0,2.6000000000000227,"Das Signal ist, jeder der arbeiten kann"
119,"00:10:17,080","00:10:21,680",617.08,621.68,4.599999999999909,"muss auch arbeiten und das bedeutet auch,"
120,"00:10:21,760","00:10:25,920",621.76,625.92,4.159999999999968,"die Menschen die zu uns kommen, sie müssen so früh wie möglich"
121,"00:10:25,960","00:10:27,880",625.96,627.88,1.919999999999959,anfangen zu arbeiten.
122,"00:10:27,920","00:10:31,640",627.92,631.64,3.7200000000000273,Wie machen Sie das? Ändern Sie Gesetze?
123,"00:10:31,720","00:10:34,680",631.72,634.68,2.9599999999999227,"Das haben schon gemacht,"
124,"00:10:34,720","00:10:37,800",634.72,637.8,3.0799999999999272,da haben Menschen lange nicht arbeiten dürfen.
125,"00:10:37,840","00:10:41,520",637.84,641.52,3.67999999999995,Wir müssen jetzt über die Bundesagentur für Arbeit über
126,"00:10:41,560","00:10:47,920",641.56,647.92,6.360000000000014,diese Zentrale diese Sachen regeln.
127,"00:10:48,160","00:10:52,320",648.16,652.32,4.160000000000082,"Man darf nicht auf den letzten Sprachkurs warten,"
128,"00:10:52,400","00:10:57,600",652.4,657.6,5.2000000000000455,Integration durch Arbeit muss ein Schwerpunkt sein.
129,"00:10:57,640","00:11:03,600",657.64,663.6,5.960000000000036,Haben Sie es verstanden?
130,"00:11:04,760","00:11:10,440",664.76,670.44,5.680000000000064,"AE: Die Grundproblematik ist da,"
131,"00:11:10,480","00:11:15,880",670.48,675.88,5.399999999999977,dass wir eine andere Situation haben als in den vergangenen Jahrzehnten.
132,"00:11:15,920","00:11:23,720",675.92,683.72,7.800000000000068,"Wir haben viel erlebt, muss nicht genug Arbeitsplätze gab."
133,"00:11:27,120","00:11:30,880",687.12,690.88,3.759999999999991,"Was jetzt alle versuchen ist die Anreize zu zu schaffen,"
134,"00:11:30,920","00:11:38,360",690.92,698.36,7.440000000000055,"dass in den nächsten Jahren die Müdigkeit bestünde,"
135,"00:11:39,240","00:11:43,040",699.24,703.04,3.7999999999999545,dass jeder Mensch in Deutschland einen Arbeitsplatz hat.
136,"00:11:43,080","00:11:45,040",703.08,705.04,1.9599999999999227,Das ist eine neue Situation.
137,"00:11:45,080","00:11:53,120",705.08,713.12,8.039999999999964,"Die andere Seite ist, wir werden gleich über Schule sprechen,"
138,"00:11:54,560","00:11:57,880",714.56,717.88,3.32000000000005,die Situation für Kinder hat durch das Bürgergeld
139,"00:11:57,920","00:11:59,960",717.92,719.96,2.0400000000000773,schon verbessert.
140,"00:12:00,040","00:12:02,840",720.04,722.84,2.800000000000068,"Wenn man will, dass die Menschen arbeiten,"
141,"00:12:02,880","00:12:06,760",722.88,726.76,3.8799999999999955,hat man oft ein Problem mit Qualifikation.
142,"00:12:06,840","00:12:10,840",726.84,730.84,4.0,"Man muss die Überlegung dahingehend ausrichten,"
143,"00:12:10,880","00:12:13,800",730.88,733.8,2.919999999999959,diese Nacht qualifizieren.
144,"00:12:13,840","00:12:16,000",733.84,736.0,2.159999999999968,Die Arbeitsplätze sind woanders.
145,"00:12:16,080","00:12:19,560",736.08,739.56,3.4799999999999045,Und eben Arbeitsbeschränkungen für bestimmte Gruppen.
146,"00:12:19,600","00:12:22,280",739.6,742.28,2.67999999999995,"Wir können das alles gleich diskutieren,"
147,"00:12:22,320","00:12:26,480",742.32,746.48,4.159999999999968,trotzdem möchte ich noch mal dem Psychiater eine Runde fragen.
148,"00:12:26,520","00:12:30,960",746.52,750.96,4.440000000000055,Ich verstehe es nicht. Bürgergeld ist ein politischer Kampfbegriff
149,"00:12:31,040","00:12:36,000",751.04,756.0,4.960000000000036,"geworden. Ich würde gerne verstehen,"
150,"00:12:36,080","00:12:39,280",756.08,759.28,3.199999999999932,"was jetzt so anders ist an dem, was jetzt machen."
151,"00:12:39,320","00:12:47,240",759.32,767.24,7.919999999999959,"Ich lese, dass sie Totalverweigerer an die Leistungen streichen."
152,"00:12:47,280","00:12:53,520",767.28,773.52,6.240000000000009,In Sonntagsreden lässt sich das offenbar gut verkaufen.
153,"00:12:53,600","00:13:01,800",773.6,781.8,8.199999999999932,Es klingt spektakulär betrifft aber nur eine Hand voll Menschen.
154,"00:13:04,160","00:13:07,280",784.16,787.28,3.1200000000000045,"Wir streichen 100 % der Leistungen klingt wie,"
155,"00:13:07,320","00:13:13,240",787.32,793.24,5.919999999999959,wir streichen den 100 % der Leistungen.
156,"00:13:13,280","00:13:20,640",793.28,800.64,7.360000000000014,"Das tun sie aber gar nicht, sie streichen das Geld,"
157,"00:13:20,680","00:13:24,640",800.68,804.64,3.9600000000000364,aber sie bezahlen weiterhin die Wohnungen und die Heizungen.
158,"00:13:24,720","00:13:26,920",804.72,806.92,2.199999999999932,Das ist doch politische Rhetorik.
159,"00:13:26,960","00:13:30,960",806.96,810.96,4.0,Strukturell gehen wir an die Probleme dieses Landes ran Geld
160,"00:13:31,040","00:13:36,960",811.04,816.96,5.920000000000073,zu sparen.
161,"00:13:39,080","00:13:47,000",819.08,827.0,7.919999999999959,Strukturell ran an die Themen gehen oder streut man Leuten
162,"00:13:51,600","00:13:57,600",831.6,837.6,6.0,Sand in die Augen.
163,"00:14:00,520","00:14:03,680",840.52,843.68,3.159999999999968,"KP: Ich finde, wir gehen ein ganz klares Signal"
164,"00:14:03,760","00:14:05,720",843.76,845.72,1.9600000000000364,in die Gesellschaft rein.
165,"00:14:05,760","00:14:13,880",845.76,853.88,8.120000000000005,"Wenn wir sie seit jetzigen Depression rauskommen, wird das gut."
166,"00:14:15,520","00:14:20,800",855.52,860.8,5.279999999999973,Wir sind weit weg im Moment.
167,"00:14:20,880","00:14:26,920",860.88,866.92,6.039999999999964,"Sagen sie dann doch eins, zwei."
168,"00:14:28,720","00:14:35,440",868.72,875.44,6.720000000000027,"Es stimmt Ihnen jeder zu, ich habe es noch nicht gehört."
169,"00:14:35,520","00:14:38,840",875.52,878.84,3.32000000000005,"Die Aussage ist deutlich, Sozialleistungen nur noch für die,"
170,"00:14:38,920","00:14:42,720",878.92,882.72,3.800000000000068,die sie wirklich brauchen. Derjenige der kein Interesse daran hat eine
171,"00:14:42,800","00:14:44,720",882.8,884.72,1.9200000000000728,"Arbeit aufzunehmen,"
172,"00:14:44,800","00:14:48,440",884.8,888.44,3.6400000000001,bekommt auch keine Sozialleistungen mehr.
173,"00:14:48,480","00:14:53,320",888.48,893.32,4.840000000000032,"Sie haben gesagt, die Wohnungen werden weiter bezahlt."
174,"00:14:53,400","00:14:57,320",893.4,897.32,3.9200000000000728,Wir wollen die Leute nicht in die Obdachlosigkeit schicken.
175,"00:14:57,400","00:14:59,840",897.4,899.84,2.4400000000000546,Das ist auch eine Frage der Humanität.
176,"00:14:59,920","00:15:01,880",899.92,901.88,1.9600000000000364,"Alles unbestritten,"
177,"00:15:01,920","00:15:05,800",901.92,905.8,3.8799999999999955,"aber dann sollte man doch aufhören den Leuten vorzumachen,"
178,"00:15:05,880","00:15:11,560",905.88,911.56,5.67999999999995,dass man ganz hart durchzieht.
179,"00:15:11,640","00:15:14,880",911.64,914.88,3.240000000000009,"Ich hoffe, dass das Leistungsprinzip wieder gelten"
180,"00:15:14,960","00:15:20,880",914.96,920.88,5.919999999999959,und so soll es sein.
181,"00:15:21,280","00:15:23,240",921.28,923.24,1.9600000000000364,Mindestlohn erhöhen?
182,"00:15:23,320","00:15:29,240",923.32,929.24,5.919999999999959,Bürgergeld nicht erhöhen.
183,"00:15:30,360","00:15:34,400",930.36,934.4,4.039999999999964,"Wenn Sie den Abstand ernsthaft signifikant verbessern wollen,"
184,"00:15:34,480","00:15:37,360",934.48,937.36,2.8799999999999955,"wenn sie das deutliche Signal setzen wollen,"
185,"00:15:37,400","00:15:41,440",937.4,941.44,4.040000000000077,"es lohnt sich morgens aufstehen und zur Arbeit zu gehen,"
186,"00:15:41,480","00:15:49,000",941.48,949.0,7.519999999999982,während sie noch ein paar mehr Schrauben drehen müssen.
187,"00:15:51,320","00:15:55,120",951.32,955.12,3.7999999999999545,Der Ansatz die Löhne jetzt in die Höhe zu ist auch nicht
188,"00:15:55,200","00:15:57,120",955.2,957.12,1.919999999999959,der richtige.
189,"00:15:57,200","00:16:00,200",957.2,960.2,3.0,"Wir müssen sehen, dass wir uns wirtschaftlich"
190,"00:16:00,240","00:16:06,200",960.24,966.2,5.960000000000036,stabilisieren.
191,"00:16:06,840","00:16:11,400",966.84,971.4,4.559999999999945,"Frau Backhaus ist bei uns, sie ist Schulleiterin."
192,"00:16:11,480","00:16:14,840",971.48,974.84,3.3600000000000136,"Wie verfolgen Sie diese Debatte um Bürgergeld,"
193,"00:16:14,920","00:16:18,560",974.92,978.56,3.6399999999999864,"die Frage um sub Sozialabbau,"
194,"00:16:18,600","00:16:24,760",978.6,984.76,6.159999999999968,die Frage welchen Reiz das setzt?
195,"00:16:34,440","00:16:38,040",994.44,998.04,3.599999999999909,AM: Tatsächlich kann ich dabei nicht zu sagen.
196,"00:16:38,120","00:16:41,200",998.12,1001.2,3.080000000000041,Sie haben viel Kontakt mit Eltern.
197,"00:16:41,280","00:16:45,480",1001.28,1005.48,4.2000000000000455,Da sprechen wir aber nicht über deren Arbeitsverhältnisse.
198,"00:16:45,560","00:16:49,880",1005.56,1009.88,4.32000000000005,Wir sprechen dann über die Kinder.
199,"00:16:49,960","00:16:53,600",1009.96,1013.6,3.6399999999999864,Die sozial benachteiligten Familien...
200,"00:16:53,680","00:16:57,080",1013.68,1017.08,3.400000000000091,"20 % in ihrem Bezirk, die Sozialleistungen beziehen."
201,"00:16:57,160","00:17:02,720",1017.16,1022.72,5.560000000000059,Bei uns an der Schule sind das weit über 50 %.
202,"00:17:02,800","00:17:05,720",1022.8,1025.72,2.9200000000000728,"Dann redet man doch darüber, oder nicht?"
203,"00:17:05,800","00:17:11,200",1025.8,1031.2,5.400000000000091,Über deren Sozialleistungen nicht.
204,"00:17:11,240","00:17:15,080",1031.24,1035.08,3.839999999999918,"Da geht es ja um ein Mentalitätswandel,"
205,"00:17:15,160","00:17:18,200",1035.16,1038.2,3.0399999999999636,"um die Frage, was man in unseren Köpfen ändert."
206,"00:17:18,280","00:17:22,760",1038.28,1042.76,4.480000000000018,Dann verstehe ich Ihre Frage.
207,"00:17:22,840","00:17:25,280",1042.84,1045.28,2.4400000000000546,"Die Eltern und die Kinder,"
208,"00:17:25,360","00:17:29,160",1045.36,1049.16,3.800000000000182,die sind sehr an schulischem Erfolg interessiert.
209,"00:17:29,200","00:17:34,240",1049.2,1054.24,5.039999999999964,"Sie möchten eigentlich gerne,"
210,"00:17:34,280","00:17:37,160",1054.28,1057.16,2.880000000000109,"wir haben viele Beziehungen zu Grundschulen,"
211,"00:17:37,240","00:17:40,640",1057.24,1060.64,3.400000000000091,"alle Eltern möchten, dass ihre Kinder Abitur machen."
212,"00:17:40,680","00:17:43,760",1060.68,1063.76,3.0799999999999272,Das kann man so stehen lassen.
213,"00:17:43,840","00:17:47,240",1063.84,1067.24,3.400000000000091,"Sie fühlen sich in dem Moment als Bildungsverlierer,"
214,"00:17:47,320","00:17:53,960",1067.32,1073.96,6.6400000000001,wo die Kinder nicht aufs Gymnasium gehen.
215,"00:17:57,320","00:18:00,320",1077.32,1080.32,3.0,Wo die Grundschulempfehlung eine andere ist.
216,"00:18:00,360","00:18:03,960",1080.36,1083.96,3.6000000000001364,Dabei ist das völlig egal ob die Kinder
217,"00:18:04,000","00:18:09,400",1084.0,1089.4,5.400000000000091,auf eine Oberschule oder Realschule gehen.
218,"00:18:09,440","00:18:12,680",1089.44,1092.68,3.240000000000009,Nicht Gymnasium heißt Verlust.
219,"00:18:12,760","00:18:17,360",1092.76,1097.36,4.599999999999909,Das bedeutet gesellschaftliche Abstieg?
220,"00:18:17,400","00:18:21,640",1097.4,1101.64,4.240000000000009,"Oder Nicht-Aufstieg, es ist eine Diskriminierung."
221,"00:18:21,720","00:18:24,040",1101.72,1104.04,2.3199999999999363,Es wird als Aus-Selektion empfunden.
222,"00:18:24,120","00:18:26,440",1104.12,1106.44,2.3200000000001637,Man gehöre nicht dazu zu den besten.
223,"00:18:26,520","00:18:32,840",1106.52,1112.84,6.319999999999936,So werden die Kinder kategorisieren.
224,"00:18:48,440","00:18:52,160",1128.44,1132.16,3.7200000000000273,"Insofern ist das ein Statusverlust,"
225,"00:18:52,200","00:18:58,120",1132.2,1138.12,5.919999999999845,der nichts mit dem Bürgergeld zu tun hat.
226,"00:18:58,200","00:19:02,080",1138.2,1142.08,3.8799999999998818,Das setzt sich nicht nur aus
227,"00:19:02,160","00:19:06,360",1142.16,1146.36,4.199999999999818,"den ökonomischen Pelzen zusammen, es gefiel um die Unterstützung"
228,"00:19:06,440","00:19:08,360",1146.44,1148.36,1.9199999999998454,"der Kinder, eigener Erfolg."
229,"00:19:08,440","00:19:15,680",1148.44,1155.68,7.240000000000009,Das ist viel breiter gestreut als die ökonomischen Behältnisse.
230,"00:19:15,760","00:19:18,280",1155.76,1158.28,2.519999999999982,Wie würden sie überhaupt die Situation
231,"00:19:18,360","00:19:20,280",1158.36,1160.28,1.9200000000000728,an ihrer Schule beschreiben?
232,"00:19:20,360","00:19:24,760",1160.36,1164.76,4.400000000000091,900 Kinder?
233,"00:19:24,800","00:19:28,920",1164.8,1168.92,4.120000000000118,851.
234,"00:19:29,000","00:19:31,800",1169.0,1171.8,2.7999999999999545,Wie viele verschiedene Nationen haben Sie?
235,"00:19:31,840","00:19:35,520",1171.84,1175.52,3.6800000000000637,40?
236,"00:19:35,600","00:19:37,840",1175.6,1177.84,2.240000000000009,"40 Nationen ungefähr, viele Kinder"
237,"00:19:37,920","00:19:41,000",1177.92,1181.0,3.0799999999999272,mit Migrationsgeschichten aber deutschem Pass.
238,"00:19:41,080","00:19:43,200",1181.08,1183.2,2.1200000000001182,Da muss man auch differenzieren.
239,"00:19:43,280","00:19:46,000",1183.28,1186.0,2.7200000000000273,Das sind ganz unterschiedliche Biografien.
240,"00:19:46,040","00:19:52,320",1186.04,1192.32,6.279999999999973,Da gibt es ganz große Unterschiede.
